Temperatura,MM,Precipitaciones,Vel. Viento,Hora
9°,0 mm,30%,12 km/h,06:00
9°,0 mm,30%,13 km/h,07:00
11°,0 mm,20%,10 km/h,08:00
10°,0 mm,0%,14 km/h,09:00
11°,0 mm,0%,16 km/h,10:00
12°,0 mm,0%,10 km/h,11:00
14°,0 mm,20%,20 km/h,12:00
16°,0 mm,20%,23 km/h,13:00
16°,0 mm,20%,11 km/h,14:00
18°,0 mm,20%,19 km/h,15:00
18°,0 mm,20%,18 km/h,16:00
18°,0 mm,20%,12 km/h,17:00
18°,0 mm,10%,17 km/h,18:00
16°,0 mm,10%,21 km/h,19:00
16°,0 mm,10%,11 km/h,20:00
15°,0 mm,20%,21 km/h,21:00
14°,0 mm,20%,20 km/h,22:00
15°,0 mm,20%,14 km/h,23:00
